,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
85,76,191300,190900,4,23.53195,0.07,39.0,2.62,18600,0,20210805,6501,6500,4,4,23.0,23.35,0.0,0.0,0.0,69.0,0.0,0.0,11.0,20.0,253.0,254.0,39.0,26.0,1.0,1.0
86,77,131800,131200,1,8.01853,0.1,80.0,8.02,18570,0,20210805,6404,6402,1,1,24.0,25.45,0.0,0.0,0.0,72.0,0.0,1.0,16.0,21.0,240.0,237.0,40.0,25.0,1.0,1.0
87,77,132700,131900,2,14.83468,0.13,51.0,6.82,18570,0,20210805,6402,6400,1,0,25.0,25.8,0.0,0.0,0.0,66.0,0.0,1.0,17.0,23.0,240.0,238.0,46.0,26.0,0.0,1.0
88,77,133400,132800,3,20.90887,0.1,61.0,6.07,18570,0,20210805,6400,6501,7,6,26.0,25.8,0.0,0.0,0.0,58.0,0.0,2.0,20.0,28.0,242.0,242.0,50.0,27.0,1.0,1.0
89,77,134200,133500,4,23.53195,0.12,22.0,2.62,18570,0,20210805,6501,6500,5,1,26.0,25.45,0.0,0.0,0.0,55.0,0.0,3.0,22.0,30.0,244.0,245.0,48.0,28.0,1.0,1.0
90,78,182400,182000,1,2.62308,0.07,39.0,2.62,18593,0,20210805,6500,6501,2,1,23.0,23.0,0.1,0.0,0.0,66.0,0.1,51.0,19.0,28.0,248.0,249.0,44.0,26.0,1.0,1.0
91,78,183100,182500,2,8.69727,0.1,61.0,6.07,18593,0,20210805,6501,6400,1,0,23.0,23.15,0.05,0.0,0.0,69.0,0.05,26.0,15.0,24.0,249.0,251.0,45.0,26.0,0.0,1.0
92,78,183800,183200,3,15.51342,0.1,68.0,6.82,18593,0,20210805,6400,6402,1,0,22.0,23.25,0.0,0.0,0.0,74.0,0.0,0.0,12.0,21.0,248.0,250.0,41.0,25.0,0.0,1.0
93,78,184700,183900,4,23.53195,0.13,60.0,8.02,18593,0,20210805,6402,6404,0,0,22.0,23.15,0.0,0.0,0.0,76.0,0.0,1.0,13.0,21.0,246.0,247.0,36.0,24.0,0.0,0.0
94,82,165400,165000,1,2.62308,0.07,39.0,2.62,18587,0,20210805,6500,6501,4,5,24.0,23.3,0.1,0.0,0.0,61.0,0.1,51.0,20.0,30.0,252.0,251.0,46.0,27.0,1.0,1.0
95,82,170000,165500,2,8.69727,0.08,73.0,6.07,18587,0,20210805,6501,6400,6,6,24.0,23.5,0.05,0.0,0.0,63.0,0.05,27.0,19.0,28.0,252.0,252.0,49.0,27.0,1.0,1.0
96,82,170800,170100,3,15.51342,0.12,58.0,6.82,18587,0,20210805,6400,6402,7,5,23.0,23.45,0.05,0.0,0.0,70.0,0.05,27.0,19.0,27.0,251.0,252.0,47.0,26.0,1.0,1.0
97,82,171700,170900,4,23.53195,0.13,60.0,8.02,18587,0,20210805,6402,6404,5,5,23.0,23.15,0.1,0.0,0.0,74.0,0.1,51.0,19.0,27.0,249.0,250.0,44.0,26.0,1.0,1.0
98,115,101800,101200,1,8.01853,0.1,80.0,8.02,18564,0,20210805,6404,6402,1,0,23.0,23.7,0.3,0.0,0.0,79.0,0.3,51.0,18.0,25.0,248.0,248.0,40.0,23.0,0.0,1.0
99,115,102700,101900,2,14.83468,0.13,51.0,6.82,18564,0,20210805,6402,6400,0,0,23.0,23.7,0.85,0.0,0.0,74.0,0.85,56.0,19.0,26.0,249.0,249.0,46.0,23.0,0.0,0.0
100,115,103700,102800,3,20.90887,0.15,40.0,6.07,18564,0,20210805,6400,6501,9,4,24.0,23.9,0.75,0.0,0.0,67.0,0.75,56.0,21.0,31.0,245.0,245.0,52.0,24.0,1.0,1.0
101,115,104300,103800,4,23.53195,0.08,31.0,2.62,18564,0,20210805,6501,6500,4,2,24.0,24.1,0.1,0.0,0.0,64.0,0.1,51.0,23.0,34.0,240.0,240.0,51.0,25.0,1.0,1.0
102,116,195400,195000,1,2.62308,0.07,39.0,2.62,18597,0,20210805,6500,6501,1,2,21.0,22.9,0.0,0.0,0.0,75.0,0.0,0.0,7.0,17.0,248.0,253.0,24.0,25.0,1.0,1.0
103,116,200000,195500,2,8.69727,0.08,73.0,6.07,18597,0,20210805,6501,6400,1,1,21.0,22.85,0.0,0.0,0.0,76.0,0.0,0.0,7.0,17.0,248.0,252.0,29.0,24.0,1.0,1.0
104,116,200700,200100,3,15.51342,0.1,68.0,6.82,18597,0,20210805,6400,6402,3,2,21.0,22.75,0.0,0.0,0.0,78.0,0.0,0.0,8.0,18.0,247.0,248.0,30.0,24.0,1.0,1.0
105,116,201700,200800,4,23.53195,0.15,53.0,8.02,18597,0,20210805,6402,6404,2,0,21.0,22.7,0.0,0.0,0.0,79.0,0.0,1.0,10.0,19.0,246.0,245.0,26.0,24.0,0.0,1.0
106,117,214800,214200,1,8.01853,0.1,80.0,8.02,18610,0,20210805,6404,6402,1,1,20.0,21.55,0.0,0.0,0.0,89.0,0.0,1.0,7.0,12.0,241.0,241.0,15.0,22.0,1.0,1.0
